employee_id,employee_name,department,designation,employment_status,base_salary,overtime_hours,overtime_rate,attendance_days,working_days,attendance_status,salary_paid,salary_payment_date,exit_date,bank_account,salary_leakage_flag,overtime_abuse_flag,ghost_employee_flag,duplicate_salary_flag
EMP1000,Arun,Operations,Executive,Active,105090,31,210,18,26,Missing,148918,2025-01-04,2024-12-24,33876708,No,Yes,Yes,No
EMP1001,Karthik,Sales,Lead,Active,40219,32,284,21,26,Present,128500,2025-01-28,2024-12-14,88247052,No,Yes,No,No
EMP1002,Praveen,IT,Manager,Active,77169,4,413,18,26,Present,134337,2025-01-08,2025-01-17,87316673,No,No,No,No
EMP1003,Naveen,Sales,Analyst,Active,94965,33,372,14,26,Missing,79274,2025-01-13,2024-12-07,65230489,No,Yes,Yes,Yes
EMP1004,Manoj,Sales,Manager,Active,66840,39,590,15,26,Present,93173,2025-01-04,2025-01-05,40261475,No,Yes,No,No
EMP1005,Keerthana,Finance,Manager,Active,64695,10,408,23,26,Absent,41225,2025-01-09,2025-01-19,28057496,No,No,No,No
EMP1006,Naveen,IT,Executive,Active,104754,2,581,8,26,Present,131266,2025-01-09,2024-12-24,67789099,Yes,No,No,No
EMP1007,Sneha,IT,Lead,Exited,97988,32,263,3,26,Absent,46739,2025-01-22,2024-12-27,65878459,No,Yes,No,No
EMP1008,Rohit,IT,Senior Analyst,Active,78342,10,457,14,26,Present,67708,2025-01-18,2025-01-06,33904686,No,No,No,No
EMP1009,Karthik,Sales,Lead,Active,38951,15,531,24,26,Missing,148041,2025-01-12,2025-01-07,41138855,No,No,Yes,No
EMP1010,Meena,Operations,Lead,Active,21307,17,320,11,26,Present,73019,2025-01-10,2024-12-30,63181958,No,No,No,No
EMP1011,Anitha,IT,Manager,Active,100388,29,497,22,26,Present,96154,2025-01-11,2024-12-27,97901869,No,Yes,No,No
EMP1012,Deepak,Support,Lead,Active,110768,9,253,2,26,Absent,122097,2025-01-07,2025-01-08,47282093,Yes,No,No,No
EMP1013,Praveen,Sales,Analyst,Active,55428,17,530,22,26,Present,27373,2025-01-09,2024-12-15,87173845,No,No,No,No
EMP1014,Shalini,Finance,Manager,Exited,112021,37,471,13,26,Present,55281,2025-01-06,2024-12-26,11279372,No,Yes,No,No
EMP1015,Suresh,Operations,Analyst,Active,95774,18,440,16,26,Present,40187,2025-01-19,2024-12-01,91281792,No,No,No,No
EMP1016,Rahul,Support,Senior Analyst,Exited,58975,35,442,18,26,Present,87863,2025-01-16,2025-01-25,82875898,No,Yes,No,No
